product_id,product_name,category,subcategory,cost_price
P00001,Urban Smartphone,Electronics,Smartphone,958.09
P00002,Fusion Laptop,Electronics,Laptop,2013.85
P00003,Prime Headphones,Electronics,Headphones,3661.06
P00004,Swift Smartwatch,Electronics,Smartwatch,4187.32
P00005,Nova T-Shirt,Clothing,T-Shirt,4894.17
P00006,Eco Jeans,Clothing,Jeans,3393.62
P00007,Fusion Jacket,Clothing,Jacket,2166.71
P00008,Classic Sneakers,Clothing,Sneakers,4130.93
P00009,Swift Cookware,Home,Cookware,2346.28
P00010,Prime Lighting,Home,Lighting,1436.2
P00011,Urban Furniture,Home,Furniture,238.51
P00012,Classic Decor,Home,Decor,3105.42
P00013,Nova Fiction,Books,Fiction,1264.08
P00014,Urban Business,Books,Business,576.41
P00015,Nova Science,Books,Science,2276.49
P00016,Nova Biography,Books,Biography,1284.09
P00017,Nova Smartphone,Electronics,Smartphone,2059.15
P00018,Swift Laptop,Electronics,Laptop,2735.62
P00019,Nova Headphones,Electronics,Headphones,769.47
P00020,Aura Smartwatch,Electronics,Smartwatch,1232.07
P00021,Zen T-Shirt,Clothing,T-Shirt,1649.01
P00022,Zen Jeans,Clothing,Jeans,3880.89
P00023,Elite Jacket,Clothing,Jacket,1245.57
P00024,Prime Sneakers,Clothing,Sneakers,4929.62
P00025,Fusion Cookware,Home,Cookware,1167.53
P00026,Aura Lighting,Home,Lighting,1433.76
P00027,Fusion Furniture,Home,Furniture,4746.72
P00028,Prime Decor,Home,Decor,3159.89
P00029,Classic Fiction,Books,Fiction,2814.79
P00030,Nova Business,Books,Business,4863.67
P00031,Classic Science,Books,Science,3946.16
P00032,Elite Biography,Books,Biography,3505.84
P00033,Classic Smartphone,Electronics,Smartphone,814.15
P00034,Classic Laptop,Electronics,Laptop,984.68
P00035,Fusion Headphones,Electronics,Headphones,2409.71
P00036,Swift Smartwatch,Electronics,Smartwatch,1559.62
P00037,Prime T-Shirt,Clothing,T-Shirt,4044.42
P00038,Nova Jeans,Clothing,Jeans,2846.94
P00039,Classic Jacket,Clothing,Jacket,2821.85
P00040,Prime Sneakers,Clothing,Sneakers,1991.02
P00041,Aura Cookware,Home,Cookware,1080.42
P00042,Urban Lighting,Home,Lighting,4617.35
P00043,Elite Furniture,Home,Furniture,534.92
