item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000001,O000379,P00104,-4,2102.55,10
I0000002,O000624,P00373,-3,4358.28,20
I0000003,O000267,P00014,-5,806.24,20
I0000004,O001084,P00371,-5,1139.86,0
I0000005,O001197,P00283,-2,6182.35,0
I0000006,O000247,P00134,-5,276.47,20
I0000007,O000913,P00196,-2,4279.12,0
I0000008,O000972,P00352,-3,6202.75,0
I0000009,O000090,P00547,-2,5045.52,10
I0000010,O000712,P00259,-5,2607.28,10
I0000011,O000139,P00121,-4,4421.73,15
I0000012,O000342,P00516,-1,2169.74,20
I0000013,O000094,P00133,-3,8596.23,0
I0000014,O001014,P00195,-4,715.06,25
I0000015,O000339,P00526,-1,6138.07,15
I0000016,O000800,P00394,-5,505.24,5
I0000017,O000008,P00212,-2,2597.68,0
I0000018,O000933,P00010,-5,2157.59,20
I0000019,O000622,P00538,-3,7384.19,5
I0000020,O000244,P00275,-5,3774.8,0
I0000021,O000598,P00547,-2,4835.09,0
I0000022,O000554,P00285,-2,6717.01,0
I0000023,O001095,P00255,-2,2498.6,20
I0000024,O000756,P00356,-5,2523.86,20
I0000025,O000837,P00271,-2,2062.86,5
I0000026,O001282,P00333,-1,3703.2,25
I0000027,O000573,P00365,-2,2003.56,0
I0000028,O001340,P00109,-4,4791.89,20
I0000029,O000452,P00212,-4,2795.22,0
I0000030,O000914,P00405,-2,1839.44,20
I0000031,O000304,P00445,-3,8471.41,0
I0000032,O000941,P00508,-2,3345.41,25
I0000033,O001167,P00181,-2,2515.46,20
I0000034,O000044,P00185,-3,1337.92,0
I0000035,O000385,P00404,-5,1760.87,0
I0000036,O000932,P00437,-2,344.98,10
I0000037,O000282,P00103,-5,8101.68,25
I0000038,O000205,P00013,-5,1803.49,0
I0000039,O001320,P00113,-1,7892.59,0
I0000040,O000549,P00255,-1,2529.83,20
I0000041,O000218,P00014,-1,879.27,25
I0000042,O000415,P00347,-1,534.71,25
I0000043,O000630,P00455,-2,1741.71,0
I0000044,O001114,P00250,-1,2618.07,20
I0000045,O000092,P00127,-1,5007.96,5
I0000046,O000851,P00106,-5,693.98,0
I0000047,O000875,P00025,-2,1671.0,5
I0000048,O000788,P00294,-2,2423.76,20
I0000049,O000348,P00116,-4,8302.72,0
I0000050,O000732,P00105,-3,4106.54,5
