order_id,customer_id,order_date,status,region_code
O000001,,2026-07-26 23:55:34,RETURNED,CENTRAL
O000002,,2025-08-15 20:31:20,PLACED,CENTRAL
O000003,,2025-06-01 22:07:13,DELIVERED,CENTRAL
O000004,,2024-10-25 17:55:34,SHIPPED,NORTH
O000005,,2025-03-11 12:29:16,RETURNED,SOUTH
O000006,,2026-04-23 03:05:28,DELIVERED,EAST
O000007,,2025-10-11 00:16:32,DELIVERED,SOUTH
O000008,,2026-06-20 02:19:44,DELIVERED,NORTH
O000009,,2026-07-17 23:54:26,PLACED,WEST
O000010,,2026-07-31 15:08:23,RETURNED,WEST
O000011,,2025-11-27 13:38:57,DELIVERED,WEST
O000012,,2024-10-22 17:19:06,DELIVERED,CENTRAL
O000013,,2026-05-08 08:04:26,SHIPPED,NORTH
O000014,,2024-08-14 10:35:53,PLACED,EAST
O000015,,2024-10-26 02:33:44,DELIVERED,WEST
O000016,,2024-12-22 02:35:29,DELIVERED,NORTH
O000017,,2025-06-22 21:29:19,RETURNED,WEST
O000018,,2026-07-02 00:59:21,DELIVERED,SOUTH
O000019,,2026-03-24 15:40:10,SHIPPED,NORTH
O000020,,2025-06-15 07:20:40,RETURNED,WEST
O000021,,2026-06-24 20:02:07,DELIVERED,CENTRAL
O000022,,2025-04-08 10:06:38,DELIVERED,NORTH
O000023,,2024-08-30 14:09:57,DELIVERED,WEST
O000024,,2024-12-15 01:50:43,DELIVERED,WEST
O000025,,2024-10-08 10:35:06,DELIVERED,CENTRAL
O000026,,2025-11-14 07:07:50,SHIPPED,SOUTH
O000027,,2025-01-01 23:05:47,DELIVERED,NORTH
O000028,,2025-11-07 04:03:58,DELIVERED,WEST
O000029,,2025-11-05 17:40:05,CANCELLED,EAST
O000030,,2024-10-12 23:13:49,DELIVERED,SOUTH
O000031,,2025-07-25 13:44:55,DELIVERED,WEST
O000032,,2024-08-25 09:26:49,DELIVERED,EAST
O000033,,2025-02-27 09:38:19,DELIVERED,SOUTH
O000034,,2026-06-24 03:22:54,SHIPPED,EAST
O000035,,2026-01-16 14:56:01,RETURNED,CENTRAL
O000036,,2025-02-28 20:01:00,PLACED,WEST
O000037,,2025-12-28 15:06:09,RETURNED,WEST
O000038,,2026-02-17 08:26:25,DELIVERED,NORTH
O000039,,2025-08-19 01:07:30,DELIVERED,CENTRAL
O000040,,2026-02-16 22:26:39,SHIPPED,WEST
O000041,,2025-01-04 05:56:49,RETURNED,SOUTH
O000042,,2024-11-17 01:24:52,DELIVERED,WEST
O000043,,2025-02-02 22:41:50,SHIPPED,CENTRAL
O000044,,2025-04-01 11:30:09,CANCELLED,NORTH
O000045,,2024-10-08 13:59:27,DELIVERED,CENTRAL
O000046,,2025-06-09 09:55:01,DELIVERED,NORTH
O000047,,28-06-2026 22:32:44,DELIVERED,WEST
O000048,,2024-11-03 14:57:00,SHIPPED,CENTRAL
O000049,,2026-03-05 21:04:31,DELIVERED,NORTH
O000050,,2024-10-27 20:20:51,DELIVERED,EAST
O000051,,2026-01-10 12:22:50,CANCELLED,EAST
O000052,,2025-08-07 23:42:03,DELIVERED,CENTRAL
O000053,,2025-11-07 01:13:29,SHIPPED,WEST
O000054,,2024-12-05 22:22:13,DELIVERED,WEST
O000055,,2024-08-19 14:16:16,CANCELLED,EAST
O000056,,2026-06-18 08:30:38,PLACED,WEST
O000057,,2025-04-12 13:25:15,PLACED,EAST
O000058,,2025-05-25 10:04:04,DELIVERED,NORTH
O000059,,2025-03-01 04:45:13,DELIVERED,WEST
O000060,,2025-06-04 09:40:12,DELIVERED,CENTRAL
O000061,,2026-05-03 03:06:42,SHIPPED,SOUTH
O000062,,2025-08-31 17:29:58,DELIVERED,EAST
O000063,,2024-09-06 18:37:16,DELIVERED,NORTH
O000064,,2025-05-25 18:18:45,DELIVERED,CENTRAL
O000065,,2026-02-13 00:54:53,SHIPPED,SOUTH
O000066,,2024-09-08 08:56:40,PLACED,NORTH
O000067,,2025-07-15 07:06:36,DELIVERED,WEST
O000068,,2025-12-10 14:18:47,DELIVERED,NORTH
O000069,,2026-06-08 00:58:24,DELIVERED,WEST
O000070,,2026-03-11 16:06:10,SHIPPED,WEST
O000071,C00359,2026-03-03 19:56:03,DELIVERED,EAST
O000072,C00292,2026-06-16 03:09:06,PLACED,NORTH
O000073,C00220,2024-12-24 20:41:46,CANCELLED,SOUTH
O000074,C00276,2026-06-04 07:23:15,DELIVERED,CENTRAL
O000075,C00486,2024-07-31 00:11:05,CANCELLED,SOUTH
O000076,C00230,2026-03-18 00:10:08,DELIVERED,EAST
O000077,C00282,2026-07-10 23:15:44,DELIVERED,WEST
O000078,C00259,2025-07-03 16:34:20,DELIVERED,EAST
O000079,C00407,2026-06-04 18:49:00,DELIVERED,NORTH
O000080,C00575,2025-12-16 13:29:10,DELIVERED,CENTRAL
O000081,C00111,2025-04-26 10:43:40,DELIVERED,EAST
O000082,C00333,2025-04-20 23:11:03,CANCELLED,EAST
O000083,C00306,2026-05-13 23:34:48,SHIPPED,CENTRAL
O000084,C00414,2025-03-14 01:55:40,DELIVERED,SOUTH
O000085,C00510,2026-07-19 00:47:15,RETURNED,EAST
O000086,C00398,2025-09-12 14:35:30,DELIVERED,CENTRAL
O000087,C00195,2026-07-06 20:41:17,DELIVERED,SOUTH
O000088,C00488,2026-06-13 19:19:34,CANCELLED,EAST
O000089,C00175,2025-12-12 10:47:26,DELIVERED,CENTRAL
O000090,C00100,2025-01-12 10:33:25,DELIVERED,EAST
O000091,C00188,2026-07-23 20:12:52,RETURNED,EAST
O000092,C00228,2026-05-12 03:06:43,DELIVERED,EAST
O000093,C00381,2025-09-14 11:55:25,DELIVERED,EAST
O000094,C00482,28-10-2025 04:08:56,PLACED,CENTRAL
O000095,C00073,2026-02-25 22:27:29,DELIVERED,SOUTH
O000096,C00391,2025-12-05 04:13:23,DELIVERED,WEST
O000097,C00141,2024-09-04 05:21:01,RETURNED,EAST
O000098,C00469,2025-09-03 20:35:31,SHIPPED,SOUTH
O000099,C00341,2024-10-01 17:36:47,DELIVERED,SOUTH
O000100,C00060,2025-05-27 22:57:44,PLACED,EAST
O000101,C00591,2025-02-10 05:59:58,DELIVERED,WEST
O000102,C00445,2024-10-09 04:34:20,DELIVERED,WEST
O000103,C00393,2025-09-23 17:14:32,PLACED,CENTRAL
O000104,C00015,2025-01-31 13:26:42,CANCELLED,CENTRAL
O000105,C00005,2025-01-22 00:30:47,DELIVERED,SOUTH
O000106,C00320,2025-02-27 12:23:53,SHIPPED,WEST
O000107,C00314,2025-12-08 21:17:37,SHIPPED,NORTH
O000108,C00467,2025-05-12 10:26:58,DELIVERED,CENTRAL
O000109,C00445,2025-12-29 12:09:39,CANCELLED,SOUTH
O000110,C00368,2025-06-26 17:42:27,DELIVERED,SOUTH
O000111,C00234,2025-08-28 00:33:25,DELIVERED,SOUTH
O000112,C00517,2025-02-12 00:39:31,SHIPPED,EAST
O000113,C00039,2026-07-09 23:32:46,DELIVERED,EAST
O000114,C00050,2026-01-09 22:32:54,DELIVERED,NORTH
O000115,C00021,2026-05-19 03:47:49,PLACED,NORTH
O000116,C00390,2025-09-10 16:02:16,SHIPPED,EAST
O000117,C00211,2025-11-08 05:26:09,DELIVERED,NORTH
O000118,C00104,2025-05-15 15:11:03,DELIVERED,EAST
O000119,C00141,2026-04-09 21:54:40,DELIVERED,NORTH
O000120,C00121,2025-12-16 22:21:01,DELIVERED,NORTH
O000121,C00205,2025-12-02 07:05:36,DELIVERED,CENTRAL
O000122,C00420,2025-02-02 12:53:32,DELIVERED,NORTH
O000123,C00213,2026-01-23 17:55:57,DELIVERED,WEST
O000124,C00003,2025-06-14 08:23:56,PLACED,NORTH
O000125,C00506,2024-11-01 20:45:54,SHIPPED,NORTH
O000126,C00104,2025-12-16 02:35:35,CANCELLED,SOUTH
O000127,C00271,2025-10-21 10:38:19,DELIVERED,NORTH
O000128,C00298,2025-01-05 01:17:49,DELIVERED,EAST
O000129,C00098,2025-09-20 04:04:50,CANCELLED,NORTH
O000130,C00175,2024-07-20 04:53:58,DELIVERED,WEST
O000131,C00096,2026-04-08 09:37:46,DELIVERED,EAST
O000132,C00411,2025-01-14 04:00:19,DELIVERED,WEST
O000133,C00490,2025-04-15 13:54:15,DELIVERED,SOUTH
O000134,C00061,2024-11-03 04:41:07,RETURNED,SOUTH
O000135,C00495,2024-10-25 15:00:28,DELIVERED,WEST
O000136,C00389,2025-01-12 22:07:06,DELIVERED,CENTRAL
O000137,C00495,2024-08-09 04:37:04,CANCELLED,NORTH
O000138,C00048,2025-09-05 15:54:20,PLACED,EAST
O000139,C00591,2024-07-23 18:58:07,DELIVERED,SOUTH
O000140,C00532,2026-05-27 12:10:40,DELIVERED,CENTRAL
O000141,C00255,16-10-2024 15:37:13,DELIVERED,WEST
O000142,C00056,2024-12-10 20:11:22,PLACED,SOUTH
O000143,C00508,2025-12-10 16:56:49,CANCELLED,NORTH
O000144,C00247,2025-11-26 11:32:05,DELIVERED,EAST
O000145,C00229,2024-08-31 18:19:03,DELIVERED,WEST
O000146,C00081,2025-08-27 08:25:00,DELIVERED,CENTRAL
O000147,C00511,2025-10-12 03:03:55,DELIVERED,NORTH
O000148,C00019,2025-12-02 23:38:57,SHIPPED,WEST
O000149,C00563,2024-08-16 20:08:43,PLACED,NORTH
O000150,C00312,2026-03-21 22:24:01,CANCELLED,CENTRAL
O000151,C00468,2025-02-07 23:41:38,RETURNED,EAST
O000152,C00466,2024-09-04 07:58:37,DELIVERED,CENTRAL
O000153,C00373,2026-03-17 17:05:13,DELIVERED,NORTH
O000154,C00228,2024-10-18 23:51:03,PLACED,EAST
O000155,C00561,2026-04-20 10:29:29,DELIVERED,NORTH
O000156,C00505,2024-08-26 05:50:15,SHIPPED,WEST
O000157,C00201,2024-10-28 09:07:09,SHIPPED,WEST
O000158,C00196,2025-02-16 16:30:04,DELIVERED,NORTH
O000159,C00127,2025-09-08 01:33:13,DELIVERED,WEST
O000160,C00517,2025-10-22 23:50:04,SHIPPED,WEST
O000161,C00050,2024-07-15 19:10:14,DELIVERED,WEST
O000162,C00521,2026-03-02 17:26:37,DELIVERED,SOUTH
O000163,C00178,2026-06-19 20:55:31,DELIVERED,SOUTH
O000164,C00330,2024-10-25 13:57:57,DELIVERED,WEST
O000165,C00255,2025-09-12 22:02:01,DELIVERED,EAST
O000166,C00137,2025-05-08 16:20:54,SHIPPED,CENTRAL
O000167,C00307,2026-06-27 18:30:46,DELIVERED,CENTRAL
O000168,C00223,2025-05-28 20:00:58,SHIPPED,CENTRAL
O000169,C00354,2026-07-12 10:26:25,CANCELLED,SOUTH
O000170,C00183,2026-07-08 23:31:47,DELIVERED,EAST
O000171,C00361,2026-07-08 04:03:45,DELIVERED,CENTRAL
O000172,C00547,2026-02-15 15:03:38,DELIVERED,WEST
O000173,C00110,2024-07-24 18:53:34,PLACED,SOUTH
O000174,C00205,2024-09-03 01:55:18,DELIVERED,SOUTH
O000175,C00150,2025-04-30 08:59:00,DELIVERED,EAST
O000176,C00034,2025-02-04 19:33:51,DELIVERED,WEST
O000177,C00576,2024-10-23 22:17:33,CANCELLED,CENTRAL
O000178,C00524,2025-08-13 08:30:41,DELIVERED,EAST
O000179,C00391,2026-06-20 01:34:16,DELIVERED,EAST
O000180,C00014,2026-01-27 01:49:10,DELIVERED,SOUTH
O000181,C00231,2026-04-07 15:59:32,CANCELLED,EAST
O000182,C00202,2026-03-05 19:45:44,DELIVERED,SOUTH
O000183,C00182,2025-05-08 16:12:06,RETURNED,NORTH
O000184,C00527,2025-01-18 06:11:18,SHIPPED,NORTH
O000185,C00570,2025-09-22 10:01:22,DELIVERED,SOUTH
O000186,C00006,2026-03-01 09:08:44,DELIVERED,SOUTH
O000187,C00331,2024-08-20 05:27:25,DELIVERED,CENTRAL
O000188,C00503,19-05-2026 10:49:31,DELIVERED,CENTRAL
O000189,C00326,2025-07-12 02:30:51,DELIVERED,SOUTH
O000190,C00518,2025-12-26 02:20:35,SHIPPED,CENTRAL
O000191,C00095,2026-01-11 14:32:55,DELIVERED,SOUTH
O000192,C00340,2026-05-21 11:56:39,DELIVERED,SOUTH
O000193,C00487,2026-04-05 19:10:32,RETURNED,NORTH
O000194,C00457,2024-11-05 12:27:30,DELIVERED,CENTRAL
O000195,C00041,2026-04-08 08:44:17,DELIVERED,EAST
O000196,C00396,2025-08-05 03:59:19,DELIVERED,EAST
O000197,C00384,2024-08-05 18:40:45,DELIVERED,CENTRAL
O000198,C00045,2025-10-10 17:35:05,DELIVERED,SOUTH
O000199,C00085,2025-06-04 18:34:16,RETURNED,SOUTH
O000200,C00008,2026-01-12 19:16:27,DELIVERED,SOUTH
O000201,C00219,2026-05-28 22:46:50,CANCELLED,WEST
O000202,C00551,2024-10-25 07:20:44,DELIVERED,WEST
O000203,C00158,2026-05-04 02:29:11,PLACED,EAST
O000204,C00076,2024-08-18 03:02:50,PLACED,EAST
O000205,C00589,2026-02-02 02:25:31,DELIVERED,EAST
O000206,C00462,2025-09-01 13:59:19,DELIVERED,WEST
O000207,C00399,2025-05-30 00:28:32,DELIVERED,CENTRAL
O000208,C00065,2024-07-17 23:12:51,DELIVERED,CENTRAL
O000209,C00367,2024-08-26 02:30:13,CANCELLED,NORTH
O000210,C00089,2025-05-03 10:49:57,DELIVERED,WEST
O000211,C00032,2025-08-05 14:14:47,DELIVERED,CENTRAL
O000212,C00401,2025-02-21 04:49:34,DELIVERED,CENTRAL
O000213,C00148,2025-05-09 22:56:44,DELIVERED,EAST
O000214,C00569,2024-07-22 20:00:50,SHIPPED,NORTH
O000215,C00404,2024-07-16 20:42:46,DELIVERED,NORTH
O000216,C00353,2025-05-19 07:30:31,DELIVERED,CENTRAL
O000217,C00189,2024-12-03 05:43:15,DELIVERED,EAST
O000218,C00186,2025-01-25 04:02:02,DELIVERED,CENTRAL
O000219,C00473,2024-09-04 19:50:38,DELIVERED,NORTH
O000220,C00257,2025-05-04 02:18:48,SHIPPED,CENTRAL
O000221,C00366,2025-11-21 11:54:24,SHIPPED,SOUTH
O000222,C00072,2024-10-21 10:14:32,CANCELLED,EAST
O000223,C00337,2025-11-20 16:16:06,DELIVERED,EAST
O000224,C00157,2026-06-21 21:07:47,DELIVERED,EAST
O000225,C00173,2025-05-30 15:27:18,PLACED,SOUTH
O000226,C00447,2025-02-22 23:11:34,DELIVERED,EAST
O000227,C00492,2024-11-25 11:55:57,DELIVERED,EAST
O000228,C00565,2025-05-19 17:35:27,SHIPPED,CENTRAL
O000229,C00144,2024-10-02 10:04:39,CANCELLED,SOUTH
O000230,C00079,2025-04-06 22:40:31,DELIVERED,NORTH
O000231,C00032,2025-12-12 22:51:27,DELIVERED,CENTRAL
O000232,C00218,2025-08-29 21:20:36,CANCELLED,CENTRAL
O000233,C00553,2025-04-03 19:38:52,DELIVERED,SOUTH
O000234,C00229,2025-07-20 14:09:04,CANCELLED,CENTRAL
O000235,C00138,31-07-2026 10:27:20,DELIVERED,CENTRAL
O000236,C00373,2024-10-11 14:18:26,DELIVERED,SOUTH
O000237,C00527,2026-03-31 05:53:56,SHIPPED,SOUTH
O000238,C00580,2025-01-10 20:28:52,DELIVERED,SOUTH
O000239,C00368,2026-08-03 17:27:52,PLACED,WEST
O000240,C00271,2025-03-05 02:08:58,DELIVERED,NORTH
O000241,C00531,2026-05-26 07:23:21,CANCELLED,EAST
O000242,C00466,2025-08-12 16:57:40,CANCELLED,NORTH
O000243,C00106,2026-05-06 11:39:35,DELIVERED,CENTRAL
O000244,C00270,2026-04-20 09:49:06,DELIVERED,CENTRAL
O000245,C00388,2025-01-05 13:34:28,DELIVERED,NORTH
O000246,C00386,2025-12-22 09:01:14,RETURNED,SOUTH
O000247,C00362,2025-12-21 14:38:13,DELIVERED,EAST
O000248,C00007,2025-11-21 17:24:50,DELIVERED,SOUTH
O000249,C00236,2025-10-04 05:53:25,PLACED,EAST
O000250,C00192,2025-02-12 05:19:51,SHIPPED,CENTRAL
O000251,C00236,2026-07-15 04:10:08,DELIVERED,EAST
O000252,C00494,2026-07-18 03:59:14,DELIVERED,WEST
O000253,C00166,2025-02-11 21:22:15,DELIVERED,WEST
O000254,C00045,2024-08-02 08:43:57,SHIPPED,CENTRAL
O000255,C00525,2024-12-22 04:45:57,PLACED,CENTRAL
O000256,C00171,2024-12-08 01:53:47,DELIVERED,SOUTH
O000257,C00578,2025-12-22 14:37:22,DELIVERED,EAST
O000258,C00460,2024-10-06 07:44:48,DELIVERED,WEST
O000259,C00225,2025-11-16 06:04:15,DELIVERED,CENTRAL
O000260,C00187,2024-12-04 21:04:27,DELIVERED,CENTRAL
O000261,C00351,2025-04-07 05:58:02,CANCELLED,CENTRAL
