table,record_id,issue,severity
orders,O000001,missing_customer_id,warning
orders,O000002,missing_customer_id,warning
orders,O000003,missing_customer_id,warning
orders,O000004,missing_customer_id,warning
orders,O000005,missing_customer_id,warning
orders,O000006,missing_customer_id,warning
orders,O000007,missing_customer_id,warning
orders,O000008,missing_customer_id,warning
orders,O000009,missing_customer_id,warning
orders,O000010,missing_customer_id,warning
orders,O000011,missing_customer_id,warning
orders,O000012,missing_customer_id,warning
orders,O000013,missing_customer_id,warning
orders,O000014,missing_customer_id,warning
orders,O000015,missing_customer_id,warning
orders,O000016,missing_customer_id,warning
orders,O000017,missing_customer_id,warning
orders,O000018,missing_customer_id,warning
orders,O000019,missing_customer_id,warning
orders,O000020,missing_customer_id,warning
orders,O000021,missing_customer_id,warning
orders,O000022,missing_customer_id,warning
orders,O000023,missing_customer_id,warning
orders,O000024,missing_customer_id,warning
orders,O000025,missing_customer_id,warning
orders,O000026,missing_customer_id,warning
orders,O000027,missing_customer_id,warning
orders,O000028,missing_customer_id,warning
orders,O000029,missing_customer_id,warning
orders,O000030,missing_customer_id,warning
orders,O000031,missing_customer_id,warning
orders,O000032,missing_customer_id,warning
orders,O000033,missing_customer_id,warning
orders,O000034,missing_customer_id,warning
orders,O000035,missing_customer_id,warning
orders,O000036,missing_customer_id,warning
orders,O000037,missing_customer_id,warning
orders,O000038,missing_customer_id,warning
orders,O000039,missing_customer_id,warning
orders,O000040,missing_customer_id,warning
orders,O000041,missing_customer_id,warning
orders,O000042,missing_customer_id,warning
orders,O000043,missing_customer_id,warning
orders,O000044,missing_customer_id,warning
orders,O000045,missing_customer_id,warning
orders,O000046,missing_customer_id,warning
orders,O000047,missing_customer_id,warning
orders,O000048,missing_customer_id,warning
orders,O000049,missing_customer_id,warning
orders,O000050,missing_customer_id,warning
orders,O000051,missing_customer_id,warning
orders,O000052,missing_customer_id,warning
orders,O000053,missing_customer_id,warning
orders,O000054,missing_customer_id,warning
orders,O000055,missing_customer_id,warning
orders,O000056,missing_customer_id,warning
orders,O000057,missing_customer_id,warning
orders,O000058,missing_customer_id,warning
orders,O000059,missing_customer_id,warning
orders,O000060,missing_customer_id,warning
orders,O000061,missing_customer_id,warning
orders,O000062,missing_customer_id,warning
orders,O000063,missing_customer_id,warning
orders,O000064,missing_customer_id,warning
orders,O000065,missing_customer_id,warning
orders,O000066,missing_customer_id,warning
orders,O000067,missing_customer_id,warning
orders,O000068,missing_customer_id,warning
orders,O000069,missing_customer_id,warning
orders,O000070,missing_customer_id,warning
orders,O000047,nonstandard_date_format_corrected,warning
orders,O000094,nonstandard_date_format_corrected,warning
orders,O000141,nonstandard_date_format_corrected,warning
orders,O000188,nonstandard_date_format_corrected,warning
orders,O000235,nonstandard_date_format_corrected,warning
orders,O000282,nonstandard_date_format_corrected,warning
orders,O000329,nonstandard_date_format_corrected,warning
orders,O000376,nonstandard_date_format_corrected,warning
orders,O000423,nonstandard_date_format_corrected,warning
orders,O000470,nonstandard_date_format_corrected,warning
orders,O000517,nonstandard_date_format_corrected,warning
orders,O000564,nonstandard_date_format_corrected,warning
orders,O000611,nonstandard_date_format_corrected,warning
orders,O000658,nonstandard_date_format_corrected,warning
orders,O000705,nonstandard_date_format_corrected,warning
orders,O000752,nonstandard_date_format_corrected,warning
orders,O000799,nonstandard_date_format_corrected,warning
orders,O000846,nonstandard_date_format_corrected,warning
orders,O000893,nonstandard_date_format_corrected,warning
orders,O000940,nonstandard_date_format_corrected,warning
orders,O000987,nonstandard_date_format_corrected,warning
orders,O001034,nonstandard_date_format_corrected,warning
orders,O001081,nonstandard_date_format_corrected,warning
orders,O001128,nonstandard_date_format_corrected,warning
orders,O001175,nonstandard_date_format_corrected,warning
orders,O001222,nonstandard_date_format_corrected,warning
orders,O001269,nonstandard_date_format_corrected,warning
orders,O001316,nonstandard_date_format_corrected,warning
orders,O001363,nonstandard_date_format_corrected,warning
customers,C00001,invalid_email,warning
customers,C00002,invalid_email,warning
customers,C00003,invalid_email,warning
customers,C00004,invalid_email,warning
customers,C00005,invalid_email,warning
customers,C00006,invalid_email,warning
customers,C00007,invalid_email,warning
customers,C00008,invalid_email,warning
customers,C00009,invalid_email,warning
customers,C00010,invalid_email,warning
customers,C00011,invalid_email,warning
customers,C00012,invalid_email,warning
